#,Title,Artist,Album,Length,BPM,Genre,Label,Composer,Remixer,Year,File name
53,"Dynamite (Mixin Marc & Tony Svejda Extended)","Taio Cruz","Promo Only Mainstream Club September CD1",335,126,"House; Club","","","",2010,"D:/Music/2010 Tracks/Promo Only/Taio Cruz - Dynamite (Mixin Marc & Tony Svejda Extended).mp3"
54,"Feel So Close (Extended Mix)","Calvin Harris","Feel So Close",334,128,"House","Fly Eye Records","","",2011,"D:/Music/2010 Tracks/Calvin Harris - Feel So Close (Extended Mix).mp3"
55,"Don't Start Now (Pink Panda Remix)","Dua Lipa","Don't Start Now Remixes",212,128,"House","","","",2019,"D:/Music/2010 Tracks/Dua Lipa - Don't Start Now (Pink Panda Remix).mp3"
56,"Bodak Yellow (Money Moves) (Clean) (ULTI-reMIX by DJ Volume)","Cardi B","Funkymix 223",296,125,"Hip-Hop","","","",2017,"D:/Music/2010 Tracks/Ultimix/Cardi B - Bodak Yellow (Money Moves) (Clean) (ULTI-reMIX by DJ Volume).mp3"
57,"Man! I Feel Like a Woman! (Album Version)","Shania Twain","Man! I Feel Like a Woman!",237,127,"Pop; Country","","Shania Twain","",1999,"D:/Music/90s Tracks/Shania Twain - Man! I Feel Like a Woman! (Album Version).mp3"
58,"Mambo No. 5 (Ultimix by Mark Roberts) 126-175-126","Lou Bega","Ultimix 074",456,126,"Pop","","","",1999,"D:/Music/90s Tracks/Ultimix/Lou Bega - Mambo No. 5 (Ultimix).mp3"
59,"Blinding Lights (85.5/171 bpm) (Ultimix by Stacy Mier)","Weeknd, The","Ultimix 274",279,171,"Dance","","","",2020,"D:/Music/2010 Tracks/Ultimix/The Weeknd - Blinding Lights (85.5,171 bpm) (Ultimix by Stacy Mier).mp3"
60,"Untouched (Select Mix)","Veronicas, The","Select Mix Select Essentials Vol. 39",284,177,"Pop","","","",2006,"D:/Music/2000 Tracks/Select Essentials/Veronicas, The - Untouched (Select Mix).mp3"
61,"Down Under (Extended)","Luude/Colin Hay","Down Under",203,172,"Drum & Bass","For Promotional Purposes Only!","","",2022,"D:/Music/2020 Tracks/Luude f. Colin Hay - Down Under (Extended).mp3"
62,"Just Wanna Rock","Lil Uzi Vert","Just Wanna Rock",124,0,"","Generation Now/Atlantic Records, ℗ 2022 Atlantic Recording Corporation","","",2022,"H:/../az01-internal/downloads/TIDAL/d3f5c38788fd3bbfda8b8dc83994666476df0fa3.mp4#history#18faab68-0824-4c9f-89df-ecacba705eea.mp4"
63,"Bassline Junkie (Radio Edit)","Dizzee Rascal","NOW: The Hits Of Autumn 2013",203,139,"Hip-Hop","","","",2013,"D:/Music/2010 Tracks/Dizzee Rascal - Bassline Junkie (Radio Edit).mp3"
64,"Mr. Brightside","Killers, The","Hot Fuss (Deluxe Version)",222,148,"Rock","","","",2004,"D:/Music/2000 Tracks/The Killers - Mr. Brightside.mp3"
65,"Single Ladies (Put a Ring on It)","Beyoncé","I AM...SASHA FIERCE",193,0,"","(P) 2008 Sony Music Entertainment","","",2008,"G:/../az01-internal/downloads/TIDAL/b2e63ebfe043a0797de4fbdee2cc4c53c5a2f053.mp4#history#39d910ae-f337-4551-af3a-665ed4f74d47.mp4"
66,"Ride Wit Me (Funkymix by Jason Wilmon)","Nelly","Funkymix 050",458,102,"R&B","","","",2001,"D:/Music/2000 Tracks/Ultimix/Nelly - Ride Wit Me (Funkymix by Jason Wilmon).mp3"
67,"Yeah (Select Mix)","Usher/Ludacris/Lil Jon","Select Essentials 1",309,105,"Hip-Hop","","","",2004,"D:/Music/2000 Tracks/Select Essentials/Usher w Ludacris & Lil Jon - Yeah (Select Mix).mp3"
68,"Yeah Boyeee!","Simon Harris","Beats, Breaks & Scratches Volume 3",5,0,"Scratches","","","",1989,"D:/Music/Samples/Scratches/Beats, Breaks & Scratches/Vol.3/Simon Harris - Yeah Boyeee!.mp3"
69,"This Is How We Do It (Street Tracks)","Montell Jordan","Street Tracks 22",356,104,"R&B","","","",1995,"D:/Music/90s Tracks/Street Tracks/Montell Jordan - This Is How We Do It (Street Tracks).mp3"
70,"The One That Got Away","Katy Perry","Teenage Dream: The Complete Confection",227,0,"","A Capitol Records Release; ℗ 2010 Capitol Records, LLC","","",2010,"H:/../az01-internal/downloads/TIDAL/c661d4c487f22604ed06fecc70ab5fecac05bd1f.temp#history#9b1cc34f-b25f-46e7-971a-f1e5739b934e.temp"
71,"Kernkraft 400 vs. Day 'n' Nite (WeDamnz Mashup)","Zombie Nation/Moksi/Kid Cudi/Crookers","Kernkraft 400 vs. Day 'n' Nite",223,133,"Dance","","","",2018,"D:/Music/2010 Tracks/Zombie Nation vs. Moksi, Kid Cudi & Crookers - Kernkraft 400 vs. Day 'n' Nite (WeDamnz Mashup).mp3"
72,"B.O.T.A. (Baddest Of Them All)","Eliza Rose/Interplanetary Criminal","B.O.T.A. (Baddest Of Them All)",353,137,"House","","","",2022,"D:/Music/2020 Tracks/Eliza Rose & Interplanetary Criminal - B.O.T.A. (Baddest Of Them All).mp3"
73,"Sandstorm (Original Mix)","Darude","Sandstorm",446,136,"Trance","","","",2001,"D:/Music/2000 Tracks/Darude - Sandstorm (Original Mix).mp3"
74,"Teach Me How To Dougie (Remix)","Cali Swag District/Sean Kingston/B.O.B.","Teach Me How To Dougie (Remix) (feat. Sean Kingston and B.o.B)",224,85,"Hip-Hop","","","",2010,"D:/Music/2010 Tracks/Cali Swag District featuring Sean Kingston and B.O.B. - Teach Me How To Dougie (Remix).mp3"
75,"Last Last (Funkymix by Doc Roc)","Burna Boy","Funkymix 282",255,88,"Hip-Hop","","","",2022,"D:/Music/2020 Tracks/Ultimix/Burna Boy - Last Last (Funkymix by Doc Roc).mp3"
76,"No Scrubs","TLC","Fanmail",214,93,"Hip-Hop","","","",1999,"D:/Music/90s Tracks/TLC - No Scrubs.mp3"
77,"Love Story","Taylor Swift","Fearless",236,119,"Country","Universal Distribution","Taylor Swift","",2009,"D:/Music/2000 Tracks/Taylor Swift - Love Story.mp3"
78,"Timber (Full Tilt Remix)","Pitbull/Kesha","Full Tilt 47",271,130,"Hip-Hop","","","",2014,"D:/Music/2010 Tracks/Full Tilt/Pitbull (feat Kesha) - Timber (Full Tilt Remix).mp3"
79,"Pain","PinkPantheress","to hell with it",99,0,"","Under exclusive licence to Parlophone Records Limited, ℗ 2021 PinkPantheress","","",2021,"H:/../az01-internal/downloads/TIDAL/fe0504f9e9d57397dd564babc13645209b3e3c1a.temp#history#886581f8-73fb-4436-982e-0a31aa3ccb19.temp"
80,"Baby (Funkymix)","Justin Bieber/Ludacris","Funkymix 134",402,130,"Hip-Hop","","","",2010,"D:/Music/2010 Tracks/Ultimix/Justin Bieber Feat. Ludacris - Baby (Funkymix).mp3"
81,"Boom Boom Pow (Full Tilt Remix)","Black Eyed Peas","Full Tilt 24",293,130,"R&B","","","",2009,"D:/Music/2000 Tracks/Full Tilt/Black Eyed Peas - Boom Boom Pow (Full Tilt Remix).mp3"
82,"Stop","Spice Girls","Spice World",205,130,"Pop","","","",1997,"D:/Music/90s Tracks/Spice Girls/Spice Girls - Stop.mp3"
