#,Title,Artist,Album,Length,BPM,Genre,Label,Composer,Remixer,Year,File name
28,"Macarena (Ultimix)","Los Del Rio","Looking Back 04",406,103,"R&B","","","",1996,"D:/Music/90s Tracks/Ultimix/Los Del Rio - Macarena (Ultimix).mp3"
29,"Macarena (Bayside Boys Remix)","Los Del Rio","Macarena",225,103,"Dance","","","",1996,"D:/Music/90s Tracks/Los Del Rio - Macarena (Bayside Boys Remix).mp3"
30,"Macarena (Mastermix)","Los Del Rio","Music Factory DJ Beats Volume 14",262,103,"Pop","","","",1995,"D:/Music/2010 Tracks/Mastermix DJ Beats/Los Del Rio - Macarena (Mastermix).mp3"
31,"When The Lights Go Out","Five","5ive",251,104,"R&B; Pop","","","",1998,"D:/Music/90s Tracks/Five - When The Lights Go Out.mp3"
32,"This Is How We Do It (Street Tracks)","Montell Jordan","Street Tracks 22",356,104,"R&B","","","",1995,"D:/Music/90s Tracks/Street Tracks/Montell Jordan - This Is How We Do It (Street Tracks).mp3"
33,"When The Lights Go Out (Extended Mix)","Five","When The Lights Go Out",384,104,"Pop","","","",1998,"D:/Music/90s Tracks/Five - When The Lights Go Out (Extended Mix).mp3"
34,"Gangster Trippin","Fatboy Slim","You've Come A Long Way, Baby",321,104,"House; Hip-Hop","Skint","Fatboy Slim","",1998,"D:/Music/90s Tracks/Fatboy Slim/Fatboy Slim - Gangster Trippin.mp3"
35,"Crazy (You Drive Me Crazy)","Britney Spears","Baby One More Time",200,106,"Pop","","","",1999,"D:/Music/90s Tracks/Britney Spears - (You Drive Me) Crazy.mp3"
36,"Say You'll Be There (Funkymix by Mark Roberts)","Spice Girls","Funkymix 026",398,107,"R&B","","","",1997,"D:/Music/90s Tracks/Ultimix/Spice Girls - Say You'll Be There (Funkymix).mp3"
37,"Say You'll Be There (Single Mix)","Spice Girls","Say You'll Be There",238,107,"Pop","","Eliot Kennedy/Jon B./Spice Girls","",1996,"D:/Music/90s Tracks/Spice Girls - Say You'll Be There (Single Mix).mp3"
38,"Joints & Jam","Black Eyed Peas","Behind The Front",216,108,"Hip-Hop","","A. Pineda/Barry Gibb/Greg Phillinganes/J. Gomez/Paul Poli/T. Smith/Will Adams","",1998,"D:/Music/90s Tracks/Black Eyed Peas/Black Eyed Peas - Joints & Jam.mp3"
39,"Everybody (Backstreet's Back) (Extended Version)","Backstreet Boys","Everybody (Backstreet's Back)",287,108,"Pop","","Denniz Pop/Max Martin","",1997,"D:/Music/90s Tracks/Backstreet Boys - Everybody (Backstreet's Back) (Extended Version).mp3"
40,"Men In Black (DJ Steil Remix)","Will Smith","Men In Black",279,108,"Hip-Hop","","","",2018,"D:/Music/Steil Tracks/Will Smith - Men In Black (DJ Steil Remix).mp3"
41,"Men In Black (Radio Edit)","Will Smith","Men In Black",217,108,"R&B","","","",1997,"D:/Music/90s Tracks/Will Smith - Men In Black (Radio Edit).mp3"
42,"Praise You (Mastermix)","Fatboy Slim","Music Factory DJ Beats Volume 70",247,110,"Dance","","","",1998,"D:/Music/2010 Tracks/Mastermix DJ Beats/Fatboy Slim - Praise You (Mastermix).mp3"
43,"Wanna Be (Part1) (Ultimix)","Spice Girls","Ultimix 062",355,110,"Pop","","","",1997,"D:/Music/90s Tracks/Ultimix/Spice Girls - Wanna Be (Part1) (Ultimix).mp3"
44,"Wannabe (Radio Edit)","Spice Girls","Wannabe",175,110,"Pop","Virgin","Matt Rowe/Richard Stannard/Spice Girls","",1996,"D:/Music/90s Tracks/Spice Girls - Spice Girls - Wannabe (Radio Edit).mp3"
45,"Da Funk","Daft Punk","Da Funk",334,111,"Dance","","","",1996,"D:/Music/90s Tracks/Daft Punk/02 - Da Funk.mp3"
46,"If Ya Gettin' Down (Single Version)","Five","If Ya Gettin' Down",183,111,"Pop","BMG","Richard Stannard/Julian Gallagher/J Brown/Sean Conlon/Richard "Abs" Breen/Cleveland","",1999,"D:/Music/90s Tracks/Five - If Ya Gettin' Down (Single Version).mp3"
47,"I Want You Back (Long Version)","N Sync","I Want You Back",265,112,"Pop","","Dag Volle/Martin Sandberg","",1997,"D:/Music/90s Tracks/N Sync - I Want You Back (Long Version).mp3"
48,"I Want You Back (Select Mix Remix)","N Sync","Select Mix Rewind 07",248,112,"Pop","","","",1996,"D:/Music/2010 Tracks/Select Mix/Rewind/N Sync - I Want You Back (Select Mix Remix).mp3"
49,"1,2,3,4 (Sumpin' New) (Ultimix by Mark Roberts)","Coolio","Ultimix 059",387,115,"Hip-Hop","","","",1996,"D:/Music/90s Tracks/Ultimix/Coolio - 1, 2, 3, 4 (Sumpin' New) (Ultimix).mp3"
50,"Space Jam (Funkymix by DJ Roach)","Quad City DJs","Funkymix 026",407,132,"Hip-Hop","","","",1997,"D:/Music/90s Tracks/Ultimix/Quad City DJ's - Space Jam (Funkymix).mp3"
51,"Space Jam (Extended Mix)","Quad City DJs","Space Jam",415,132,"Hip-Hop","","","",1996,"D:/Music/90s Tracks/Quad City DJs - Space Jam (Extended Mix).mp3"
